City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Ostrovnoy,RU,2020-01-14 04:47:44,68.05,39.51,13.62,95,100,9.82
116,Bredasdorp,ZA,2020-01-14 04:47:44,-34.53,20.04,71.01,88,100,9.64
117,Arraial Do Cabo,BR,2020-01-14 04:47:44,-22.97,-42.03,75.49,72,100,7.81
118,Honiara,SB,2020-01-14 04:47:11,-9.43,159.95,86.0,79,75,13.87
119,Bonavista,CA,2020-01-14 04:47:45,48.65,-53.11,15.01,78,100,11.99
120,Tuktoyaktuk,CA,2020-01-14 04:47:45,69.45,-133.04,-14.8,68,5,6.93
121,Gambo,CF,2020-01-14 04:47:45,4.65,22.26,68.38,30,37,3.06
122,Lojt Kirkeby,DK,2020-01-14 04:47:46,55.08,9.47,45.0,93,75,21.92
123,Anadyr,RU,2020-01-14 04:47:46,64.75,177.48,14.0,66,47,6.71
124,Mogadishu,SO,2020-01-14 04:46:17,2.04,45.34,78.8,69,20,10.29
125,Gambela,ET,2020-01-14 04:47:50,8.25,34.58,77.56,38,84,5.1
126,Bogandinskiy,RU,2020-01-14 04:47:50,56.89,65.89,24.8,73,75,11.18
127,Zhigansk,RU,2020-01-14 04:37:57,66.77,123.37,-15.05,95,100,13.87
128,Nyimba,ZM,2020-01-14 04:47:50,-14.56,30.81,71.22,92,100,5.97
129,Airai,TL,2020-01-14 04:47:50,-8.93,125.41,74.59,84,100,4.0
130,Sorata,BO,2020-01-14 04:47:51,-15.77,-68.63,32.67,92,100,8.77
131,Meulaboh,ID,2020-01-14 04:47:51,4.14,96.13,82.96,71,76,3.85
132,Saint-Joseph,RE,2020-01-14 04:47:51,-21.37,55.62,87.8,66,20,3.36
133,San Quintin,MX,2020-01-14 04:37:54,30.48,-115.95,39.0,25,35,8.99
134,San Patricio,MX,2020-01-14 04:47:52,19.22,-104.7,78.78,65,63,4.07
135,Sharlyk,RU,2020-01-14 04:47:52,52.92,54.75,20.41,95,99,9.48
136,Rudnichnyy,RU,2020-01-14 04:47:52,59.62,52.47,10.96,96,92,5.35
137,Jaguaruna,BR,2020-01-14 04:47:52,-28.61,-49.03,70.09,80,100,2.53
138,Boguchany,RU,2020-01-14 04:47:52,58.38,97.45,11.12,94,91,2.51
139,Port Hedland,AU,2020-01-14 04:45:19,-20.32,118.57,93.2,59,83,13.87
140,Pacific Grove,US,2020-01-14 04:43:04,36.62,-121.92,51.01,81,90,5.82
141,Aykhal,RU,2020-01-14 04:47:53,66.0,111.5,-11.2,83,91,4.47
142,Tasiilaq,GL,2020-01-14 04:47:53,65.61,-37.64,21.2,57,100,2.24
143,Nioro,GM,2020-01-14 04:47:07,13.35,-15.75,66.56,18,23,9.35
144,Dikson,RU,2020-01-14 04:45:40,73.51,80.55,3.94,93,100,16.11
145,Quatre Cocos,MU,2020-01-14 04:47:54,-20.21,57.76,84.0,83,40,10.29
146,Astara,AZ,2020-01-14 04:47:54,38.5,48.67,30.2,100,90,4.7
147,Menongue,AO,2020-01-14 04:47:54,-14.66,17.69,63.0,97,100,3.91
148,Sao Gabriel Da Cachoeira,BR,2020-01-14 04:47:54,-0.13,-67.09,70.61,99,94,1.68
149,Belyy,RU,2020-01-14 04:47:55,55.84,32.94,32.94,95,100,5.17
150,Plouzane,FR,2020-01-14 04:47:55,48.38,-4.62,50.0,93,90,14.99
151,Bac,RS,2020-01-14 04:47:55,45.39,19.24,28.0,100,90,6.93
152,Semnan,IR,2020-01-14 04:47:04,35.57,53.4,39.15,48,89,2.33
153,Manga,BF,2020-01-14 04:47:56,11.66,-1.07,65.26,11,0,11.01
154,Bellevue,US,2020-01-14 04:45:43,47.61,-122.2,33.01,92,90,9.17
155,Mildura,AU,2020-01-14 04:47:56,-34.2,142.15,102.99,10,62,4.7
156,Turukhansk,RU,2020-01-14 04:47:56,65.82,87.98,9.05,92,100,17.29
157,La Ronge,CA,2020-01-14 04:37:59,55.1,-105.28,-14.8,68,90,8.05
158,Westport,US,2020-01-14 04:47:08,41.14,-73.36,44.6,100,90,3.36
159,Ribeira Grande,PT,2020-01-14 04:47:57,38.52,-28.7,58.71,79,98,31.85
160,Saldanha,ZA,2020-01-14 04:44:36,-33.01,17.94,69.15,85,74,7.58
161,Yellowknife,CA,2020-01-14 04:45:23,62.46,-114.35,-38.2,65,5,3.36
162,Butaritari,KI,2020-01-14 04:47:57,3.07,172.79,82.26,77,100,21.12
163,Faanui,PF,2020-01-14 04:47:57,-16.48,-151.75,81.03,76,99,18.68
164,Leutkirch,DE,2020-01-14 04:47:58,47.83,10.02,33.8,74,93,6.93
165,Ulcinj,ME,2020-01-14 04:47:58,41.93,19.22,32.0,63,0,3.36
166,Rio Grande,BR,2020-01-14 04:45:32,-32.03,-52.1,68.0,81,0,14.27
167,Georgetown,MY,2020-01-14 04:47:59,5.41,100.34,89.6,52,20,10.29
168,Puerto Ayora,EC,2020-01-14 04:47:59,-0.74,-90.35,77.0,78,18,5.01
169,Nsanje,MW,2020-01-14 04:47:59,-16.92,35.26,78.94,86,97,1.39
170,Acucena,BR,2020-01-14 04:47:59,-19.07,-42.55,66.87,96,47,3.27
171,Cidreira,BR,2020-01-14 04:38:22,-30.18,-50.21,74.14,76,45,19.19
172,Tagusao,PH,2020-01-14 04:48:00,9.19,117.81,83.41,65,1,8.99
173,Mouzouras,GR,2020-01-14 04:48:00,35.53,24.15,53.01,93,40,9.57
174,Port-Cartier,CA,2020-01-14 04:48:00,50.03,-66.87,1.99,70,40,8.05
175,Guaratinga,BR,2020-01-14 04:48:01,-16.57,-39.57,77.0,83,20,3.36
176,Saskylakh,RU,2020-01-14 04:45:16,71.92,114.08,-15.68,99,0,10.54
177,Port Elizabeth,ZA,2020-01-14 04:48:01,-33.92,25.57,71.6,94,90,14.99
178,Coquimbo,CL,2020-01-14 04:48:01,-29.95,-71.34,60.8,82,90,8.05
179,Morehead,US,2020-01-14 04:46:47,37.27,-87.18,46.0,100,90,5.84
180,Vetlanda,SE,2020-01-14 04:48:02,57.43,15.08,39.2,93,100,12.75
